风电场群总出力_MW,集电线路故障率_次百km年,箱变渗漏油次数_次月,风机基础沉降速率_mm月,场区道路承载力_MPa,电缆沟积水深度_mm,集电系统电压不平衡度_%,升压站设备温升_℃,防雷接地电阻_Ω,风机可利用率_%,CRI综合风险指数,风险等级_二分类
450.21,1.41,0.02,0.15,24.87,27.3,0.13,36.05,1.3,87.44,0.1175,0
263.71,3.07,2.03,2.23,14.32,6.59,1.82,23.9,5.44,86.99,0.6552,1
344.72,0.46,1.99,1.49,41.61,34.01,0.82,49.08,1.26,89.96,0.3553,0
117.11,0.91,0.0,3.5,50.2,1.09,2.48,34.33,4.38,94.87,0.6635,1
259.84,0.86,1.0,1.34,32.41,8.96,1.09,32.87,4.64,86.25,0.4743,1
208.73,1.7,0.03,3.98,16.38,78.29,1.17,74.67,1.61,91.75,0.8072,1
352.61,4.15,5.03,0.95,43.02,13.38,0.74,15.0,2.02,96.94,0.3018,0
497.86,0.3,0.97,1.03,21.67,78.43,3.77,57.4,5.73,99.99,0.321,0
287.96,2.28,1.02,1.73,43.47,11.38,1.01,51.38,6.87,94.67,0.5322,0
365.37,1.21,3.02,2.09,34.0,12.8,1.06,41.1,3.96,91.09,0.4127,0
71.8,0.61,1.98,1.99,41.06,38.83,0.58,49.92,6.07,88.03,0.799,1
358.1,3.51,4.05,0.15,26.77,11.62,0.09,55.0,4.76,87.97,0.5043,1
337.86,1.45,1.0,1.55,32.91,14.05,0.86,40.3,0.75,98.64,0.3526,0
358.35,1.68,0.03,1.29,30.16,39.57,2.36,30.03,3.66,91.44,0.4364,0
399.26,1.76,0.01,1.39,53.16,0.63,0.62,45.31,4.91,85.16,0.2944,0
283.69,0.42,0.0,1.65,22.85,61.85,0.74,31.42,6.69,94.71,0.4685,1
409.98,0.47,2.03,0.24,36.61,12.75,0.63,26.76,1.45,94.4,0.0871,0
417.12,3.57,0.01,2.7,45.81,5.66,0.4,46.7,3.24,92.44,0.409,1
225.71,1.4,0.99,0.34,35.06,49.12,0.87,53.92,3.22,94.53,0.5048,1
204.77,2.98,1.02,1.59,28.57,11.77,0.76,40.06,2.02,91.1,0.6702,1
222.5,0.78,2.1,0.12,30.14,0.61,1.19,60.32,2.0,91.06,0.5471,1
361.96,0.97,1.09,0.06,29.83,14.14,0.29,29.21,2.57,90.16,0.2293,0
303.35,1.14,0.03,2.55,34.48,21.92,0.76,49.64,1.45,98.16,0.4861,1
